Date,ABB.ST,ALFA.ST,ASSA-B.ST,ATCO-A.ST,ATCO-B.ST,AZN.ST,BOL.ST,ELUX-B.ST,ERIC-B.ST,ESSITY-B.ST,EVO.ST,GETI-B.ST,HEXA-B.ST,HM-B.ST,INVE-B.ST,KINV-B.ST,NDA-SE.ST,NIBE-B.ST,SAAB-B.ST,SAND.ST,SBB-B.ST,SCA-B.ST,SEB-A.ST,SHB-A.ST,SINCH.ST,SKF-B.ST,SWED-A.ST,TEL2-B.ST,TELIA.ST,VOLV-B.ST
2023-04-30,369.03863525390625,369.4836730957031,237.4705810546875,144.751953125,127.92838287353516,1506.235107421875,347.0882568359375,154.5500030517578,51.83332824707031,292.22796630859375,1362.5362548828125,254.95806884765625,116.60442352294922,138.05337524414062,211.75486755371094,167.85000610351562,112.23966217041016,112.62813568115234,142.8861541748047,203.43931579589844,7.215905666351318,134.87416076660156,112.19741821289062,80.92852020263672,27.049999237060547,172.39039611816406,152.26954650878906,94.95380401611328,24.816164016723633,196.51123046875
2023-05-31,395.7473449707031,383.5545349121094,234.45230102539062,154.4770050048828,133.09230041503906,1570.53173828125,323.2286376953125,142.89999389648438,51.60344314575195,271.2537536621094,1422.6099853515625,244.75582885742188,125.6642837524414,127.58470916748047,215.81314086914062,155.75,105.19879150390625,102.45199584960938,146.6593780517578,186.02256774902344,2.732081651687622,138.18719482421875,109.26006317138672,76.57041931152344,22.594999313354492,159.9239501953125,142.0469512939453,88.77556610107422,21.957439422607422,186.6763458251953
2023-06-30,422.6553955078125,386.7032775878906,252.17251586914062,151.8869171142578,130.80264282226562,1543.118408203125,304.74163818359375,147.1999969482422,53.709144592285156,270.0310363769531,1362.9354248046875,185.35716247558594,132.60678100585938,174.4398651123047,210.92276000976562,149.39999389648438,115.67134857177734,101.31419372558594,144.7727813720703,205.09805297851562,3.2498013973236084,131.99325561523438,114.74954986572266,80.67845916748047,24.350000381469727,174.53016662597656,155.56300354003906,80.24015045166016,20.549800872802734,207.88426208496094
2023-07-31,419.7652587890625,387.5888366699219,246.3306884765625,146.31576538085938,126.61304473876953,1501.2509765625,303.3233337402344,130.0,48.633392333984375,245.38870239257812,1295.277587890625,192.42025756835938,101.84001159667969,166.54591369628906,210.2381134033203,143.64999389648438,117.42662811279297,93.73541259765625,137.72279357910156,208.61068725585938,3.57332706451416,134.24996948242188,122.83932495117188,82.51815795898438,27.325000762939453,186.6244659423828,165.05845642089844,71.32657623291016,20.07660675048828,216.32081604003906
2023-08-31,415.1809387207031,379.02825927734375,240.3914794921875,141.67315673828125,123.1054916381836,1490.9884033203125,285.1787109375,120.6500015258789,51.796546936035156,240.49786376953125,1183.7120361328125,186.73056030273438,97.79438018798828,157.76644897460938,206.47251892089844,128.9499969482422,118.5113525390625,81.30859375,143.63087463378906,202.3660125732422,2.765495538711548,140.20382690429688,122.45409393310547,81.5893783569336,23.024999618530273,165.36639404296875,166.08499145507812,69.6338882446289,19.615280151367188,206.20626831054688
2023-09-30,389.66815185546875,369.7788391113281,231.92083740234375,143.92115783691406,124.90798950195312,1486.9990234375,307.5782775878906,113.05000305175781,50.305240631103516,221.8750457763672,1104.0794677734375,189.03585815429688,93.27925109863281,146.44358825683594,205.2010040283203,109.19999694824219,118.45218658447266,71.03866577148438,138.21926879882812,196.70680236816406,3.1432695388793945,143.99700927734375,125.8248291015625,87.12630462646484,19.20800018310547,169.45985412597656,172.20144653320312,75.3421859741211,20.023378372192383,210.3080291748047
2023-10-31,372.7260437011719,354.8223876953125,231.23928833007812,142.0644989013672,122.94738006591797,1399.73388671875,279.5054626464844,93.5999984741211,47.17354202270508,239.1811065673828,989.8196411132812,196.58944702148438,90.60214233398438,140.64085388183594,199.9193572998047,94.9800033569336,115.67134857177734,63.49946212768555,141.99249267578125,184.99806213378906,2.5437843799591064,146.87791442871094,119.7093505859375,84.84009552001953,17.604000091552734,167.55267333984375,156.33290100097656,74.23590850830078,21.37755584716797,205.92660522460938
2023-11-30,415.6792297363281,385.12890625,264.1598815917969,159.5023651123047,136.1220703125,1336.90283203125,273.7832946777344,103.25,49.012939453125,246.89358520507812,1085.119384765625,218.7597198486328,104.78682708740234,161.3878631591797,214.15631103515625,97.94000244140625,115.63190460205078,61.303001403808594,133.85028076171875,201.97572326660156,2.932565212249756,149.66278076171875,122.30963134765625,88.76953125,29.815000534057617,183.36831665039062,164.54519653320312,77.1625747680664,22.545574188232422,226.7616424560547
2023-12-31,443.78314208984375,396.9366455078125,285.3948974609375,170.97984313964844,146.88795471191406,1349.8680419921875,307.627197265625,108.0999984741211,59.53053665161133,235.1367645263672,1199.678466796875,220.03500366210938,120.81951141357422,169.76963806152344,229.59364318847656,108.0999984741211,122.98831939697266,70.04927062988281,150.8297882080078,212.8063201904297,3.981370210647583,145.1013641357422,133.673828125,97.74471282958984,37.5099983215332,187.2757110595703,173.91233825683594,81.1773452758789,23.29709815979004,243.9610595703125
2024-01-31,440.2950744628906,377.94586181640625,281.85577392578125,164.4775848388672,142.31613159179688,1389.261962890625,270.8977966308594,98.0,54.4556770324707,230.15185546875,1220.4349365234375,219.4464111328125,113.87701416015625,141.75987243652344,241.7861785888672,112.8499984741211,126.4594497680664,62.074729919433594,167.01495361328125,214.0747528076172,3.7934656143188477,136.41062927246094,142.6785125732422,100.51318359375,32.35499954223633,191.55520629882812,182.03907775878906,83.35358428955078,24.33835792541504,232.96087646484375
